1,2,3,4,5,6,7,8,9,10
Braveheart (1995),Casablanca (1942),"Sound of Music, The (1965)",Much Ado About Nothing (1993),"Blues Brothers, The (1980)",Titanic (1997),"Godfather, The (1972)","Hunt for Red October, The (1990)","Wizard of Oz, The (1939)","Sting, The (1973)"
"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",M*A*S*H (1970),"Manchurian Candidate, The (1962)","Boot, Das (1981)",Toy Story (1995),"Sting, The (1973)",Young Frankenstein (1974),"Close Shave, A (1995)","Day the Earth Stood Still, The (1951)"
One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993),Star Wars (1977),"Fugitive, The (1993)","Shawshank Redemption, The (1994)","Godfather, The (1972)","Silence of the Lambs, The (1991)","English Patient, The (1996)",Star Trek: First Contact (1996),"Full Monty, The (1997)"
Fargo (1996),While You Were Sleeping (1995),Jaws (1975),"Usual Suspects, The (1995)",Aliens (1986),Titanic (1997),"Terminator, The (1984)",Die Hard (1988),"Great Escape, The (1963)",Contact (1997)
"Silence of the Lambs, The (1991)",Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Terminator 2: Judgment Day (1991),Monty Python and the Holy Grail (1974),Reservoir Dogs (1992),"Godfather: Part II, The (1974)",Rear Window (1954),"Princess Bride, The (1987)","Terminator, The (1984)"
Contact (1997),Titanic (1997),Raiders of the Lost Ark (1981),"Shawshank Redemption, The (1994)",Face/Off (1997),"Princess Bride, The (1987)",When We Were Kings (1996),"English Patient, The (1996)","Game, The (1997)",Sense and Sensibility (1995)
Titanic (1997),"Full Monty, The (1997)",Kolya (1996),"Rainmaker, The (1997)",Dead Man Walking (1995),In the Company of Men (1997),Anastasia (1997),"Thousand Acres, A (1997)",Star Wars (1977),Apt Pupil (1998)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Alien (1979),"Godfather: Part II, The (1974)",GoodFellas (1990),Titanic (1997),Chinatown (1974),"Close Shave, A (1995)",To Kill a Mockingbird (1962),Big Night (1996),Hamlet (1996)
Fargo (1996),Amadeus (1984),Sense and Sensibility (1995),"Graduate, The (1967)",Star Wars (1977),"Boot, Das (1981)",Return of the Jedi (1983),Enchanted April (1991),Four Weddings and a Funeral (1994),Secrets & Lies (1996)
L.A. Confidential (1997),Fargo (1996),"Full Monty, The (1997)",Kiss the Girls (1997),Scream (1996),Ulee's Gold (1997),Raise the Red Lantern (1991),Star Wars (1977),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975)
Titanic (1997),"Godfather, The (1972)",Fargo (1996),"English Patient, The (1996)",Lone Star (1996),L.A. Confidential (1997),Secrets & Lies (1996),Boogie Nights (1997),"Spitfire Grill, The (1996)","Full Monty, The (1997)"
L.A. Confidential (1997),Contact (1997),Titanic (1997),Star Wars (1977),Good Will Hunting (1997),Air Force One (1997),Toy Story (1995),"Pillow Book, The (1995)",Mr. Holland's Opus (1995),Oscar & Lucinda (1997)
Star Wars (1977),Contact (1997),Braveheart (1995),Secrets & Lies (1996),Phenomenon (1996),Return of the Jedi (1983),Twelve Monkeys (1995),"Silence of the Lambs, The (1991)",Schindler's List (1993),Antonia's Line (1995)
Star Wars (1977),Mr. Holland's Opus (1995),Contact (1997),"Close Shave, A (1995)","Postino, Il (1994)","Godfather, The (1972)",Leaving Las Vegas (1995),Amadeus (1984),Twelve Monkeys (1995),Kolya (1996)
"Full Monty, The (1997)",Toy Story (1995),Fargo (1996),Schindler's List (1993),Contact (1997),Dead Man Walking (1995),"Sound of Music, The (1965)",Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Star Wars (1977)
Die Hard (1988),Reservoir Dogs (1992),12 Angry Men (1957),Toy Story (1995),"Sting, The (1973)","Close Shave, A (1995)",Citizen Kane (1941),Schindler's List (1993),"Wrong Trousers, The (1993)",Trainspotting (1996)
Raise the Red Lantern (1991),"Godfather, The (1972)",For Richer or Poorer (1997),Face/Off (1997),Leaving Las Vegas (1995),"Postino, Il (1994)",Fargo (1996),Sense and Sensibility (1995),Great Expectations (1998),Grosse Pointe Blank (1997)
Blade Runner (1982),Reservoir Dogs (1992),"Right Stuff, The (1983)",Apocalypse Now (1979),Trainspotting (1996),"Godfather: Part II, The (1974)",Clerks (1994),"Clockwork Orange, A (1971)",Good Will Hunting (1997),North by Northwest (1959)
Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)",Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Dead Man Walking (1995),"Silence of the Lambs, The (1991)",Blade Runner (1982),Titanic (1997)
Scream (1996),As Good As It Gets (1997),Rosewood (1997),Amistad (1997),Star Wars (1977),Fly Away Home (1996),Contact (1997),Raise the Red Lantern (1991),"Time to Kill, A (1996)",Jackie Brown (1997)
Titanic (1997),"Godfather, The (1972)","Princess Bride, The (1987)","Godfather: Part II, The (1974)",To Kill a Mockingbird (1962),Vertigo (1958),Fargo (1996),L.A. Confidential (1997),One Flew Over the Cuckoo's Nest (1975),"Boot, Das (1981)"
One Flew Over the Cuckoo's Nest (1975),Casablanca (1942),Psycho (1960),Brazil (1985),Schindler's List (1993),Patton (1970),Butch Cassidy and the Sundance Kid (1969),GoodFellas (1990),Quiz Show (1994),Big Night (1996)
Dead Man Walking (1995),Titanic (1997),Secrets & Lies (1996),"Postino, Il (1994)",Lone Star (1996),Toy Story (1995),When We Were Kings (1996),L.A. Confidential (1997),"Rock, The (1996)",Twelve Monkeys (1995)
"Godfather: Part II, The (1974)",Die Hard (1988),Alien (1979),"Princess Bride, The (1987)","Maltese Falcon, The (1941)",Babe (1995),Aliens (1986),"Bridge on the River Kwai, The (1957)",Secrets & Lies (1996),"Shining, The (1980)"
Toy Story (1995),Aliens (1986),"Silence of the Lambs, The (1991)",Fargo (1996),Schindler's List (1993),Men in Black (1997),Rosewood (1997),"Usual Suspects, The (1995)",True Lies (1994),Die Hard (1988)
Apt Pupil (1998),Fly Away Home (1996),"Full Monty, The (1997)",Amistad (1997),Star Wars (1977),As Good As It Gets (1997),L.A. Confidential (1997),Rosewood (1997),Everyone Says I Love You (1996),Ulee's Gold (1997)
L.A. Confidential (1997),Good Will Hunting (1997),Kiss the Girls (1997),"Game, The (1997)",Apt Pupil (1998),"MatchMaker, The (1997)","Edge, The (1997)","Rainmaker, The (1997)",Eve's Bayou (1997),Star Wars (1977)
Casablanca (1942),Star Wars (1977),Dead Man Walking (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Full Monty, The (1997)",2001: A Space Odyssey (1968),Contact (1997),To Kill a Mockingbird (1962),Schindler's List (1993),"Shawshank Redemption, The (1994)"
Fargo (1996),"Godfather, The (1972)",Dead Man Walking (1995),"Shining, The (1980)",Casablanca (1942),High Noon (1952),"Graduate, The (1967)",Jackie Brown (1997),Reservoir Dogs (1992),Kolya (1996)
L.A. Confidential (1997),Air Force One (1997),Star Wars (1977),Titanic (1997),Good Will Hunting (1997),Fargo (1996),Apt Pupil (1998),Ulee's Gold (1997),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)"
Star Wars (1977),Titanic (1997),"Godfather, The (1972)","Godfather: Part II, The (1974)",Good Will Hunting (1997),Chasing Amy (1997),Monty Python and the Holy Grail (1974),Raising Arizona (1987),Kolya (1996),"Shawshank Redemption, The (1994)"
"Godfather: Part II, The (1974)",Blade Runner (1982),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),Chinatown (1974),North by Northwest (1959),"Bridge on the River Kwai, The (1957)",Vertigo (1958),Casablanca (1942),L.A. Confidential (1997)
Fargo (1996),Men in Black (1997),"Boot, Das (1981)",L.A. Confidential (1997),Trainspotting (1996),Contact (1997),Titanic (1997),"Ghost and the Darkness, The (1996)",Ransom (1996),"Full Monty, The (1997)"
Alien (1979),Casablanca (1942),Sling Blade (1996),Blade Runner (1982),Dead Man Walking (1995),"Wrong Trousers, The (1993)",Titanic (1997),North by Northwest (1959),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941)
Schindler's List (1993),"Usual Suspects, The (1995)",It's a Wonderful Life (1946),"Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),Rear Window (1954),Searching for Bobby Fischer (1993),Die Hard (1988),Reservoir Dogs (1992),Conspiracy Theory (1997)
Casablanca (1942),"Shawshank Redemption, The (1994)",Schindler's List (1993),Braveheart (1995),"Godfather, The (1972)",Men in Black (1997),Fargo (1996),Glory (1989),North by Northwest (1959),Shine (1996)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),"Clockwork Orange, A (1971)",North by Northwest (1959),Amadeus (1984),"Wrong Trousers, The (1993)",To Kill a Mockingbird (1962),One Flew Over the Cuckoo's Nest (1975),Taxi Driver (1976),"Godfather: Part II, The (1974)"
"English Patient, The (1996)",Star Wars (1977),Everyone Says I Love You (1996),"Big Lebowski, The (1998)",Kolya (1996),Big Night (1996),Con Air (1997),Ulee's Gold (1997),"City of Lost Children, The (1995)",G.I. Jane (1997)
It's a Wonderful Life (1946),Titanic (1997),Braveheart (1995),"Godfather, The (1972)",Amadeus (1984),"Wizard of Oz, The (1939)","Hunt for Red October, The (1990)",Terminator 2: Judgment Day (1991),Star Trek: The Wrath of Khan (1982),"Godfather: Part II, The (1974)"
Willy Wonka and the Chocolate Factory (1971),"Close Shave, A (1995)",Rear Window (1954),Unforgiven (1992),Much Ado About Nothing (1993),Lone Star (1996),"Wrong Trousers, The (1993)",Contact (1997),Vertigo (1958),Indiana Jones and the Last Crusade (1989)
Raiders of the Lost Ark (1981),Titanic (1997),"Fugitive, The (1993)","English Patient, The (1996)","Boot, Das (1981)","Postino, Il (1994)",Sense and Sensibility (1995),L.A. Confidential (1997),One Flew Over the Cuckoo's Nest (1975),Secrets & Lies (1996)
Air Force One (1997),Kolya (1996),Schindler's List (1993),L.A. Confidential (1997),Dead Man Walking (1995),Titanic (1997),Star Wars (1977),Raiders of the Lost Ark (1981),On Golden Pond (1981),"Time to Kill, A (1996)"
Aliens (1986),"Graduate, The (1967)",Raising Arizona (1987),Patton (1970),Platoon (1986),It's a Wonderful Life (1946),Good Will Hunting (1997),Miller's Crossing (1990),Hoop Dreams (1994),"Birds, The (1963)"
Pulp Fiction (1994),Schindler's List (1993),"Usual Suspects, The (1995)","Graduate, The (1967)",GoodFellas (1990),12 Angry Men (1957),Apocalypse Now (1979),Amadeus (1984),Duck Soup (1933),Fargo (1996)
"Postino, Il (1994)",L.A. Confidential (1997),"Boot, Das (1981)",Contact (1997),Big Night (1996),Leaving Las Vegas (1995),Lone Star (1996),Willy Wonka and the Chocolate Factory (1971),Braveheart (1995),"Fugitive, The (1993)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bridge on the River Kwai, The (1957)",Rear Window (1954),Patton (1970),Psycho (1960),"Manchurian Candidate, The (1962)","Right Stuff, The (1983)",To Kill a Mockingbird (1962),"Clockwork Orange, A (1971)",Chinatown (1974)
Raiders of the Lost Ark (1981),Return of the Jedi (1983),"Shawshank Redemption, The (1994)","Godfather, The (1972)","Silence of the Lambs, The (1991)",Braveheart (1995),"Boot, Das (1981)","Usual Suspects, The (1995)","Fugitive, The (1993)",Titanic (1997)
"Godfather, The (1972)",Raiders of the Lost Ark (1981),2001: A Space Odyssey (1968),Rear Window (1954),Apocalypse Now (1979),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),Chinatown (1974),"Shawshank Redemption, The (1994)",Pulp Fiction (1994)
"Godfather, The (1972)",Contact (1997),Men in Black (1997),"Boot, Das (1981)",Evita (1996),"Postino, Il (1994)",Titanic (1997),"Full Monty, The (1997)",Austin Powers: International Man of Mystery (1997),When We Were Kings (1996)
Pulp Fiction (1994),One Flew Over the Cuckoo's Nest (1975),Reservoir Dogs (1992),Willy Wonka and the Chocolate Factory (1971),"Wrong Trousers, The (1993)","Close Shave, A (1995)",Shine (1996),Young Frankenstein (1974),"African Queen, The (1951)","Right Stuff, The (1983)"
Schindler's List (1993),Titanic (1997),"Shawshank Redemption, The (1994)",To Kill a Mockingbird (1962),Fantasia (1940),Contact (1997),Die Hard (1988),Stand by Me (1986),When Harry Met Sally... (1989),North by Northwest (1959)
"Full Monty, The (1997)",Amistad (1997),Fargo (1996),Liar Liar (1997),Star Wars (1977),"Close Shave, A (1995)",Leaving Las Vegas (1995),Secrets & Lies (1996),Trainspotting (1996),Donnie Brasco (1997)
Alien (1979),Fargo (1996),"Usual Suspects, The (1995)",Braveheart (1995),"Wizard of Oz, The (1939)",Lawrence of Arabia (1962),Citizen Kane (1941),Pulp Fiction (1994),"Sound of Music, The (1965)",Dead Poets Society (1989)
"Silence of the Lambs, The (1991)","English Patient, The (1996)",One Flew Over the Cuckoo's Nest (1975),Star Wars (1977),"Godfather, The (1972)",Braveheart (1995),"Boot, Das (1981)","Usual Suspects, The (1995)",Blade Runner (1982),"Postino, Il (1994)"
"Fugitive, The (1993)","Princess Bride, The (1987)",It's a Wonderful Life (1946),"Shawshank Redemption, The (1994)",Contact (1997),Alien (1979),"American President, The (1995)","Hunt for Red October, The (1990)",Titanic (1997),"Silence of the Lambs, The (1991)"
Raiders of the Lost Ark (1981),"Close Shave, A (1995)",Terminator 2: Judgment Day (1991),Rear Window (1954),"Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962),"Wrong Trousers, The (1993)","Full Monty, The (1997)",Forrest Gump (1994),Apt Pupil (1998)
"Empire Strikes Back, The (1980)",2001: A Space Odyssey (1968),Raiders of the Lost Ark (1981),Monty Python and the Holy Grail (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Die Hard (1988),"Graduate, The (1967)",Rear Window (1954),Secrets & Lies (1996)
Fargo (1996),Star Wars (1977),"Time to Kill, A (1996)",Titanic (1997),Gattaca (1997),Mr. Holland's Opus (1995),"People vs. Larry Flynt, The (1996)",Amadeus (1984),Primal Fear (1996),White Squall (1996)
Apt Pupil (1998),Good Will Hunting (1997),Star Wars (1977),"English Patient, The (1996)","Full Monty, The (1997)",Eve's Bayou (1997),Rosewood (1997),Scream (1996),Dead Man Walking (1995),Secrets & Lies (1996)
Contact (1997),Titanic (1997),Antonia's Line (1995),Big Night (1996),L.A. Confidential (1997),Star Wars (1977),Kolya (1996),Bottle Rocket (1996),Cold Comfort Farm (1995),"Boot, Das (1981)"
"Shawshank Redemption, The (1994)","Full Monty, The (1997)",Raiders of the Lost Ark (1981),Air Force One (1997),Kolya (1996),Pulp Fiction (1994),Jackie Brown (1997),Fly Away Home (1996),Amadeus (1984),Picture Perfect (1997)
"Shawshank Redemption, The (1994)","Graduate, The (1967)",Amadeus (1984),Citizen Kane (1941),Dances with Wolves (1990),North by Northwest (1959),M*A*S*H (1970),"Wizard of Oz, The (1939)","Godfather: Part II, The (1974)",Cool Hand Luke (1967)
Star Wars (1977),L.A. Confidential (1997),Fargo (1996),Return of the Jedi (1983),Good Will Hunting (1997),Titanic (1997),Dead Man Walking (1995),Kolya (1996),Apt Pupil (1998),"Godfather, The (1972)"
"Boot, Das (1981)","Shawshank Redemption, The (1994)",L.A. Confidential (1997),Schindler's List (1993),Contact (1997),Twelve Monkeys (1995),Trainspotting (1996),Leaving Las Vegas (1995),"Empire Strikes Back, The (1980)","Full Monty, The (1997)"
Fargo (1996),Star Wars (1977),"Shawshank Redemption, The (1994)",Contact (1997),Schindler's List (1993),Braveheart (1995),"Godfather, The (1972)",Toy Story (1995),Bound (1996),Reservoir Dogs (1992)
"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)","Fugitive, The (1993)",Babe (1995),Toy Story (1995),Star Wars (1977),Terminator 2: Judgment Day (1991),Die Hard (1988),Rear Window (1954),North by Northwest (1959)
Lawrence of Arabia (1962),"Godfather: Part II, The (1974)",GoodFellas (1990),Titanic (1997),Glory (1989),It's a Wonderful Life (1946),Dead Poets Society (1989),"Fish Called Wanda, A (1988)",Citizen Kane (1941),2001: A Space Odyssey (1968)
Star Wars (1977),Taxi Driver (1976),"Fugitive, The (1993)",Rear Window (1954),Toy Story (1995),Fargo (1996),Raising Arizona (1987),One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)",Return of the Jedi (1983)
Good Will Hunting (1997),Boogie Nights (1997),As Good As It Gets (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Ulee's Gold (1997),"Big Lebowski, The (1998)",Babe (1995),Kiss the Girls (1997),Raise the Red Lantern (1991),Anna Karenina (1997)
"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Amadeus (1984),"Bridge on the River Kwai, The (1957)","Wrong Trousers, The (1993)",Contact (1997),Psycho (1960),Rear Window (1954),Glory (1989),12 Angry Men (1957)
"English Patient, The (1996)",Return of the Jedi (1983),Titanic (1997),Contact (1997),Sabrina (1995),"Postino, Il (1994)",Lone Star (1996),Willy Wonka and the Chocolate Factory (1971),"Celluloid Closet, The (1995)",Michael Collins (1996)
"English Patient, The (1996)",Fargo (1996),Schindler's List (1993),"Sting, The (1973)",Kolya (1996),Air Force One (1997),Casablanca (1942),Shall We Dance? (1996),Apt Pupil (1998),"Silence of the Lambs, The (1991)"
"Full Monty, The (1997)","Godfather, The (1972)",Short Cuts (1993),"Wizard of Oz, The (1939)","Princess Bride, The (1987)","Fugitive, The (1993)",Casablanca (1942),"Empire Strikes Back, The (1980)",Babe (1995),"Close Shave, A (1995)"
Apt Pupil (1998),As Good As It Gets (1997),"Full Monty, The (1997)",Amistad (1997),Kolya (1996),Shadow Conspiracy (1997),Ulee's Gold (1997),"Tango Lesson, The (1997)","Sweet Hereafter, The (1997)",Star Wars (1977)
Aladdin (1992),Back to the Future (1985),"Shawshank Redemption, The (1994)",Amadeus (1984),Monty Python and the Holy Grail (1974),Pretty Woman (1990),It's a Wonderful Life (1946),Contact (1997),"Hunt for Red October, The (1990)",Braveheart (1995)
Schindler's List (1993),"Fugitive, The (1993)",Terminator 2: Judgment Day (1991),It's a Wonderful Life (1946),"Wizard of Oz, The (1939)",Titanic (1997),"Shawshank Redemption, The (1994)",Searching for Bobby Fischer (1993),Henry V (1989),Phenomenon (1996)
"Godfather, The (1972)",L.A. Confidential (1997),Contact (1997),"Empire Strikes Back, The (1980)","Usual Suspects, The (1995)",Back to the Future (1985),GoodFellas (1990),Titanic (1997),"Boot, Das (1981)",Clerks (1994)
